"Reverse Darwinism - survival of the most idiotic.","Jurassic Park III"
"Choice is an illusion created between those with power and those without.","The Matrix Reloaded"
"Remember, if you experience any unpleasantness, please let me know. I would hate to miss it.","Muppets from Space"
"If this world were to end, there would only be you and him... and no one else.","Donnie Darko"
"Houston, we've got a problem.","Bats"
"In short, you are alone in the world, absolved of all responsibility except to your own interest. Isn't that marvelous!","Seconds"
"I'll tell you what I lost. I lost my mind.","Doomsday"
"You, you're okay. This one: real fuckin' ugly.","They Live"
"On my planet, we never say die - we say kill!","Howard the Duck"
"They fear me.","War for the Planet of the Apes"
"To a new world of gods and monsters!","Bride of Frankenstein"
"That's... definitely bigger than the last one.","Independence Day: Resurgence"
"I have a collection of films on DVD and VHS cassette... make sure you put 'em back when you're done with 'em. We're gonna be down here for a very long time.","10 Cloverfield Lane"
"My, my, someone got up on the wrong side of the nest this morning.","Super Mario Bros."
"If they're mortal, they must have mortal weaknesses. They'll be stopped, somehow.","The War of the Worlds"
"Do you realize we know less about the earth we live on than about the stars and the galaxies of outer space? The greatest mystery is right here, right under our feet!","Journey to the Center of the Earth"
"A communications disruption could mean only one thing: invasion.","Star Wars: Episode I - The Phantom Menace"
"We all start with innocence, but the world leads us to guilt.","Dishonored"
"Commerce is our goal, here. More human than human.","Blade Runner"
"Trust me- we're in 1357 France.","Timeline"
"We belong dead!","Bride of Frankenstein"
"Do you know there are no insides to these people?","THX 1138"
"Harvey himself is gonna throw in his two cents as soon as we take 'em off his eyelids.","Amazon Women on the Moon"
"I don't know if I can put my heart on the line again only to have it broken and stumped on like a nerd's face.","Futurama: The Beast with a Billion Backs"
"You can slice him, you can dice him, but the Quinn man just keeps on comin'!","Blade"
"I'll miss the sea. But a man needs new experiences. They jar something deep inside, allowing him to grow. Without change, something sleeps inside of us and seldom awakens. The sleeper must awaken.","Dune"
"This is not good! This is not good!","Godzilla"
"I love this game.","Death Race"
"I hate this planet, Gurrney, stole both men I loved.","Children of Dune"
"We will meet again.","BioShock 2"
"First, we must observe the ancient ritual of the, uh, uh... traditional pre-fight donut.","Teenage Mutant Ninja Turtles II: The Secret of the Ooze"
"Good! Now we can fight as warriors! Hand to hand! It is the basis of all combat! Only a fool trusts his life to a weapon!","Metal Gear Solid"
"I'm having these nightmares, visions, that are the manifestation of pure evil.","Millennium"
"The Enrichment Center is required to remind you that the Weighted Companion Cube cannot talk. In the event that it does talk The Enrichment Centre asks you to ignore its advice.","Portal"
"Mom, you've always said the biggest problem in this Universe is that nobody helps each other.","Star Wars: Episode I - The Phantom Menace"
"Quiver ladies, quiver.","The Fifth Element"
"Kind of galling when you realize that nutbags with cardboard signs had it right the whole time.","2012"
"I don't know what it is, man, I'm scared, I'm freaking out man, there's something OUT here - is that Abby? Wassup Mama?","Stay Alive"
"Is that all I was to you, Jesse? Thirty points?","The Rage: Carrie 2"
"""Where must we go... we who wander this Wasteland in search of our better selves?"" -The First History Man","Mad Max: Fury Road"
"Oh the things that I have missed: the Black Plague, the Spanish Inquisition, the Brady Bunch Reunion.","Mighty Morphin Power Rangers: The Movie"
"Leela's not just a chick, she's the chick I love. But don't tell her I called her a 'chick,' or she'll kill me.","Futurama: Into the Wild Green Yonder"
"In life, one can only know the present. No one's lived in the past, or will live in the future.","Alphaville"
"At the end, a job is not just a job, is who you are, and if wanna change who you are, you have to change what you do...","Repo Men"
"Oh, can't complain, Mom. Camping out with a convicted criminal. And, uh... oh, I had my head chewed on by a monster!","Lilo & Stitch"
"I guess this makes us even.","The Matrix Reloaded"
"Mesa no carrrrrrin' about the Naboo. The Naboo think they are so smarty. They think their brains so big.","Star Wars: Episode I - The Phantom Menace"
"This is place of the dead. We're all dead here.","Son of Frankenstein"
"I know a guy.","Ant-Man"
"Oh, you gotta admit, that is pretty neat!","Jimmy Neutron: Boy Genius"
"You see, Mr. Newton, I'm kind of a cliche. I'm the disillusioned scientist, that goes with the cynical writer, the alcoholic actor and the spaced-out spaceman. A man like you wouldn't understand a guy like me.","The Man Who Fell to Earth"
"Never love anything, kiddo, you will just end up losing it.","Lost in Space"
"I hate sleeping. I figured, I've slept the first eleven years of my life away, so now I'm just making up for it.","The Matrix Reloaded"
"We're even now.","Death Race: Inferno"
"Avengers, I'm going to show you the end of the world. Boom!","Avengers: Age of Ultron"
"Of course, the most fun I've ever had is tryin' to land a crippled F-14 with a stubborn nose gear on the deck of a rolling flat-top in zero visibility...","Innerspace"
"Kids, rooms. If you find dead bodies, cheap women, or Trevor Philips, we're checking into the Rockford Hills hotel.","Grand Theft Auto V"
"There is no future until we settle our past.","The Chronicles of Riddick"
"You just have to fight for yourself; no one's going to save you. That's just life, right?","Battle Royale"
"If you have one bucket that contains 2 gallons and another bucket that contains 7 gallons, how many buckets do you have?","Idiocracy"
"I wish the astronaut had his brother back.","Zathura: A Space Adventure"
"You can't stop change any more than you can stop the suns from setting.","Star Wars: Episode I - The Phantom Menace"
"You're beautiful. You're smart. You can beat the crap out of people. You're the perfect woman.","The Mating Habits of the Earthbound Human"
"Technically, G.I. Joe does not exist, but if it did, it'd be comprised of the top men and women from the top military units in the world, the alpha dogs. When all else fails, we don't.","G.I. Joe: The Rise of Cobra"
"Sentinels that transform. Can you imagine the possibilities?","X-Men: Days of Future Past"
"I look at each of you and I see the marks of this long and terrible war. If we die tonight, man kind dies with us.","Terminator Genisys"
"You realise what you're implying? That we owe our human condition here to the intervention of insects?","Quatermass and the Pit"
"Now if you all do just what we tell you, you just might, just might get your asses home all intact.","The Toxic Avenger"
"Maybe I've been wrong all these years, and it's taken your inspiring speech to make me see it. You've really changed me. It's beautiful. I think we've gotta hug.","Titan A.E."
"No, what you have are bullets, and the hope that when your guns are empty, I'm no longer standing, because if I am... you'll all be dead before you've reloaded.","V for Vendetta"
"You're my ohana, Stitch, and I'll always love you.","Lilo & Stitch 2: Stitch Has a Glitch"
"Don't go into the long grass!","The Lost World: Jurassic Park"
"Could you go a bit slower with the clicks there, it sounded like you said *three years*...","District 9"
"So, now, you're going to retire. It shouldn't be too hard for you. It's a stupid game, after all. Awful game. You ought to be glad to be out of it.","Rollerball"
"Some things are better left unsaid.","The Time Machine"
"I don't get it, we grew up in the same house. You land Johnny Rocket Boy, I keep getting different versions of Throws-Up-on-Himself Elmo.","The Astronaut's Wife"
"Now, if you just excuse me, I'm in the middle of trying to steal something with my daughter.","Ant-Man and the Wasp"
"Tell me of your homeworld, Usul.","Dune"
"This is a new kind of life form, a new step in evolution.","Chappie"
"The Worm is the Spice! The Spice is the Worm!","Dune"
"It's not about us, it's about Joel, who's an adult, okay, not ""Momma Carrie's kid""!","Eternal Sunshine of the Spotless Mind"
"Time flies when you're having fun.","Spy Kids 4: All the Time in the World"
"Note to self, need more henchman, good ones this time.","Batman: Arkham Asylum"
"All those poets, on all those worlds; the ones who spoke of battle being such an unsightly thing? They never stood here.","The Chronicles of Riddick"
"Let's put a bun in your oven.","Junior"
"There has never been anything greater than what I have become.","The One"
"So the end was terrible, even for the good people like my father. So the purpose of all our suffering was just more suffering.","Altered States"
"I shall never forget that scream as long as I live...","The Fly"
"I have the map! I have the map! And the day after tomorrow... The world!","Time Bandits"
"You're stuttering, Mr. Creed. Don't try to speak, just shoot. Shoot your picture. Shoot for as long as your hard drive holds out. As long as you have power.","Diary of the Dead"
"Hell is other people seeing you for who you truly are.","The Box"
"Don't run! We are your friends!","Mars Attacks!"
"Don't laugh, I'm being cool.","Chappie"
"You know what scares me the most? When it happens, when it comes over me... and I totally lose control, I like it.","Hulk"
"Now toddle off and fly your flying machine.","Plan 9 from Outer Space"
"No!I don't want to die, no! No! I want to go to the Island! You promised! I wanna live! I don't wanna die! No!","The Island"
"Namballa Malaysia la adichanga, elangaila adichanga. Ippo Tamil naatukae vanthu adikuraan. Nambalaala avangakitta irunthu odamattum than mudiyuthu la?","7 Aum Arivu"
"Our head of research, Dr. Crane, has made no real progress, but he seems to enjoy his work so, what the hell.","Batman: Arkham Asylum"
"Calling Dr. Halperine... Dr. Beth Halperine... Please return to reality.","Sphere"
"Even these days, it isn't as easy to go crazy as you might think. But you don't have to be losing your mind to need psychiatric help.","Invasion of the Body Snatchers"
"Dr. Bradford? Hi. I borrowed a book from your dad. ""Power Learning Through Speed Study."" It took me forever to get through it.","Inspector Gadget"
"Some parts of my character weren't what you'd call presidential.","The Hitchhiker's Guide to the Galaxy"
"Back to the ship, huh? Just huddle together, until the lights burn out? 'Til you can't see what's eating you? Is that the big plan?","Pitch Black"
"Those poor schmucks... they drive Chevrolets, shop at Wal-Mart, never miss an episode of Friends. These are Americans. The idea of slaughtering Americans... it just turns my stomach.","Dreamcatcher"
"Do I have value again?","The Ice Pirates"
"I was at the Battle of Georgetown; I watched the White House burn to the ground!","The Postman"
